source_id,title,kind,creator_or_channel,url,published_date,language,notes
yt_CbFDtpEK82s,Infinity is fake: The base layer of reality is discrete | Joscha Bach and Lex Fridman,youtube,Lex Clips,https://www.youtube.com/watch?v=CbFDtpEK82s,2021-08-22,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=interview
yt_rIpUf-Vy2JA,"Joscha Bach: Nature of Reality, Dreams, and Consciousness | Lex Fridman Podcast #212",youtube,Lex Fridman,https://www.youtube.com/watch?v=rIpUf-Vy2JA,2021-08-21,,curation_status=keep tier=keystone discovered_via=ytsearch:Joscha format=interview
yt_XkWUFrmhNCE,Whocant: Joscha Bach. 2.,youtube,Of Course I Ca,https://www.youtube.com/watch?v=XkWUFrmhNCE,2021-08-02,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=talk
yt__4kGU4vx2PI,Joscha Bach & Whocant?,youtube,Of Course I Ca,https://www.youtube.com/watch?v=_4kGU4vx2PI,2021-07-29,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=talk
yt_twHAI_-t8Rg,Joscha Bach is a genius.,youtube,Of Course I Ca,https://www.youtube.com/watch?v=twHAI_-t8Rg,2021-07-11,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=talk
yt_JcYNhOgQ29I,Joscha Bach and Anthony Aguirre on Digital Physics and Moving Towards Beneficial Futures,youtube,Future of Life Institute,https://www.youtube.com/watch?v=JcYNhOgQ29I,2021-07-07,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=talk
yt_07uZhBeATx4,Joscha Bach on how the US media and social media giants trying to prevent the lateral spread of info,youtube,SupatiltOG,https://www.youtube.com/watch?v=07uZhBeATx4,2021-07-07,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=talk
yt_gPypb7GcDkg,Joscha Bach / Lex  on how to reach Nirvana and your minds regulation targets.,youtube,SupatiltOG,https://www.youtube.com/watch?v=gPypb7GcDkg,2021-07-05,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=talk
yt_xDkSomU_jP0,"Joscha Bach ""Consciousness, Continually Learning Systems, Neuralink""",youtube,Marwa ElDiwiny,https://www.youtube.com/watch?v=xDkSomU_jP0,2021-06-13,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=talk
yt_Brd37HMYr8I,A conversation with Joscha Bach,youtube,Aaron Sevivas,https://www.youtube.com/watch?v=Brd37HMYr8I,2021-06-09,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=interview
yt_tT3emFJO7zE,I'm (not) a robot Kick-off event - Joscha Bach,youtube,Formáld a világod,https://www.youtube.com/watch?v=tT3emFJO7zE,2021-05-21,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=talk
yt_RorCFIDAtI4,IA Simulando Humanos para entenderse a sí misma - Joscha Bach Sub Español | AIPodcast,youtube,Rama,https://www.youtube.com/watch?v=RorCFIDAtI4,2021-04-06,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=interview
yt_8Dt-R0ScLRA,The Naked Dialogue Podcast EP#25 w/ Joscha Bach & Sanjana Singh,youtube,The Naked Dialogue Podcast,https://www.youtube.com/watch?v=8Dt-R0ScLRA,2021-03-22,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=interview
yt_g3auFru7IvI,Joscha Bach: What Can AI Tell Us about the Human Mind?,youtube,wonkmonk,https://www.youtube.com/watch?v=g3auFru7IvI,2021-03-15,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=talk
yt_GzEzL0peBto,The Purpose of Art ft Joscha Bach,youtube,morisc,https://www.youtube.com/watch?v=GzEzL0peBto,2021-03-13,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=talk
yt_hoRFJtbzvtw,Joscha Bach (Cognitive Scientist) - Overpopulation and Sustainable living,youtube,Ecce Homo - Behold the Man,https://www.youtube.com/watch?v=hoRFJtbzvtw,2020-12-13,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=talk
yt_1QZ3gqUlYA4,Lex Fridman and Joscha Bach,youtube,Forcing Climate info,https://www.youtube.com/watch?v=1QZ3gqUlYA4,2020-11-05,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=interview
yt_hhxxQc2vldE,EP87 Joscha Bach on Theories of Consciousness,youtube,Jim Rutt Show,https://www.youtube.com/watch?v=hhxxQc2vldE,2020-10-27,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=interview
yt_jDtfteFqZIk,Cientista Cognitivo Explica a Realidade - Joscha Bach e Lex Fridman [Legendado],youtube,Legenbagos,https://www.youtube.com/watch?v=jDtfteFqZIk,2020-10-08,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=interview
yt_3MNBxfrmfmI,"Joscha Bach: Time, Simulation Hypothesis, Existence",youtube,Curt Jaimungal,https://www.youtube.com/watch?v=3MNBxfrmfmI,2020-10-06,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=interview
yt_FMfA6i60WDA,Joscha Bach - ChatGPT: Is AI Deepfaking Understanding?,youtube,"Science, Technology & the Future",https://www.youtube.com/watch?v=FMfA6i60WDA,2020-09-11,,curation_status=keep tier=keystone discovered_via=ytsearch:Joscha format=talk
yt_ifTtiJTRbaM,WES WATSON MOTIVATION| JOSCHA BACH PODCAST AUDIO| MORNING STATIONARY BIKE RIDE,youtube,A FATHERS LOVE NEVER DIES,https://www.youtube.com/watch?v=ifTtiJTRbaM,2020-08-25,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=interview
yt_x0bHMn68kL8,"EP72 Joscha Bach on Minds, Machines & Magic",youtube,Jim Rutt Show,https://www.youtube.com/watch?v=x0bHMn68kL8,2020-08-18,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=interview
yt_uhZ3BXM98-A,Joscha Bach on the Human Predicament,youtube,Orpheus,https://www.youtube.com/watch?v=uhZ3BXM98-A,2020-07-21,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=talk
yt_ObLfQk1qRbg,Bergson's Holographic Theory - 50 - Joscha Bach - Virtual Magic,youtube,"Stephen E. Robbins, PhD",https://www.youtube.com/watch?v=ObLfQk1qRbg,2020-07-05,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=talk
yt_BjQ0UOVvDNY,La felicidad es una galleta que tu cerebro hornea por sí mismo- Joscha Bach Sub Español | AIPodcast,youtube,Rama,https://www.youtube.com/watch?v=BjQ0UOVvDNY,2020-07-05,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=interview
yt_FUBxXPgNGK8,"General Artificial Intelligence with Dr. Joscha Bach, AI Foundation",youtube,artofinquiry,https://www.youtube.com/watch?v=FUBxXPgNGK8,2020-07-04,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=talk
yt_WJExQSOjRN8,Does AGI need a body? (Joscha Bach) | AI Podcast Clips,youtube,Lex Clips,https://www.youtube.com/watch?v=WJExQSOjRN8,2020-06-17,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=interview
yt_tyrPMVMb-Uw,We exist inside the story that the brain tells itself (Joscha Bach) | AI Podcast Clips,youtube,Lex Fridman,https://www.youtube.com/watch?v=tyrPMVMb-Uw,2020-06-16,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=interview
yt_hFoItZlYARI,Role of Emotion in the Mind (Joscha Bach) | AI Podcast Clips,youtube,Lex Clips,https://www.youtube.com/watch?v=hFoItZlYARI,2020-06-16,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=interview
yt_TvoIpLlwf8k,Joscha Bach: We don't exist in the physical world. We exist in the story that the brain tells itself,youtube,wonkmonk,https://www.youtube.com/watch?v=TvoIpLlwf8k,2020-06-16,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=talk
yt_jhIVarkAXas,Our civilization may not exist for long (Joscha Bach) | AI Podcast Clips,youtube,Lex Clips,https://www.youtube.com/watch?v=jhIVarkAXas,2020-06-15,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=interview
yt_aRdUqKtbgsY,AI Simulating Humans to Understand Itself (Joscha Bach) | AI Podcast Clips,youtube,Lex Fridman,https://www.youtube.com/watch?v=aRdUqKtbgsY,2020-06-15,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=interview
yt_8mixT5_U0hk,Happiness is a cookie that your brain bakes for itself (Joscha Bach) | AI Podcast Clips,youtube,Lex Fridman,https://www.youtube.com/watch?v=8mixT5_U0hk,2020-06-14,,curation_status=keep tier=supporting discovered_via=ytsearch:Joscha format=interview
yt_P-2P3MSZrBM,Joscha Bach: Artificial Consciousness and the Nature of Reality | Lex Fridman Podcast #101,youtube,Lex Fridman,https://www.youtube.com/watch?v=P-2P3MSZrBM,2020-06-13,,curation_status=keep tier=keystone discovered_via=ytsearch:Joscha format=interview
yt_KDcNVZjaNSU,"Are we living in a simulation? | Bill Nye, Joscha Bach, Donald Hoffman | Big Think",youtube,Big Think,https://www.youtube.com/watch?v=KDcNVZjaNSU,2020-05-17,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=talk
yt_RkP5iZrQlWA,How Joscha Bach Predicted the Corona Pandemic | Vance Crowe Podcast Short,youtube,Vance Crowe,https://www.youtube.com/watch?v=RkP5iZrQlWA,2020-03-26,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=interview
yt_yNDj0YN1SH4,The man that sounded the Coronavirus alarm: Joscha Bach @Plinz | The Vance Crowe Podcast,youtube,Vance Crowe,https://www.youtube.com/watch?v=yNDj0YN1SH4,2020-03-25,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=interview
yt_-rxXoiQyQVc,Joscha Bach - Reconciling consciousness with physicalism,youtube,FQxI,https://www.youtube.com/watch?v=-rxXoiQyQVc,2019-12-18,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=talk
yt_aoJHfHUpqnA,"Keynote by Joscha Bach, AI Foundation, @1E9 THE_CONFERENCE 2019",youtube,1E9,https://www.youtube.com/watch?v=aoJHfHUpqnA,2019-10-01,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=talk
yt_0KD2N6jmD4w,Simulation #409 Dr. Joscha Bach - Conscious Machines,youtube,Simulation,https://www.youtube.com/watch?v=0KD2N6jmD4w,2019-05-22,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=interview
yt_pgW59kIiqvo,Beyond Cryptocurrencies: AI-Enabled Financial Technologies | Joscha Bach | WEF 2019,youtube,Imagination in Action,https://www.youtube.com/watch?v=pgW59kIiqvo,2019-03-27,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=talk
yt_4OJj4wp1YmI,Towards understanding consciousness in computational systems. Part1. Joscha Bach.,youtube,Convergent Science Network,https://www.youtube.com/watch?v=4OJj4wp1YmI,2019-01-09,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=talk
yt_rpCoFpWq9gM,Towards understanding consciousness in computational systems. Part2. Joscha Bach.,youtube,Convergent Science Network,https://www.youtube.com/watch?v=rpCoFpWq9gM,2019-01-08,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=talk
yt_e3K5UxWRRuY,35C3 -  The Ghost in the Machine,youtube,media.ccc.de,https://www.youtube.com/watch?v=e3K5UxWRRuY,2018-12-29,,curation_status=candidate tier=supporting discovered_via=ytsearch:Joscha format=talk
ccc_35c3_10030_the_ghost_in_the_machine,The Ghost in the Machine,ccc,media.ccc.de,https://media.ccc.de/v/35c3-10030-the_ghost_in_the_machine,2018-12-29,,curation_status=keep tier=keystone discovered_via=media.ccc.de format=talk
